Year,Rmax (PFLop/s)
1993,5.97e-05
1994,0.0001434
1995,0.00016999999999999999
1996,0.0002204
1997,0.001068
1998,0.001338
1999,0.002121
2000,0.002379
2001,0.007226
2002,0.035859999999999996
2003,0.035859999999999996
2004,0.035859999999999996
2005,0.1368
2006,0.2806
2007,0.2806
2008,1.026
2009,1.105
2010,1.7590000000000001
2011,8.162
2012,16.32475
2013,33.8627
2014,33.8627
2015,33.8627
2016,93.01459
2017,93.01459
2018,122.3
2019,148.6
2020,415.53
2021,442.01
2022,1102.0
2023,1194.0
2024,1206.0
2025,1742.0
